id,title,description,status,createdAt,updatedAt,assignedToUserId
1,Login page not loading,"Users are reporting that the login page sometimes fails to load, showing a blank white screen. This issue occurs intermittently across different browsers and devices, making it difficult to reproduce consistently. Logs indicate potential timeouts in the authentication service, which need further investigation.",OPEN,2025-07-01 09:15:00.000,2025-07-01 09:15:00.000,
2,Search results not relevant,The search feature is returning irrelevant results when users enter multi-word queries. This is impacting discoverability of key products in the system. Engineers suspect issues with the tokenization logic in the search indexer.,IN_PROGRESS,2025-07-02 11:20:00.000,2025-07-05 13:45:00.000,
3,Mobile app crashes on startup,Several users on iOS devices are experiencing immediate crashes when attempting to open the app. The crash reports point to a null pointer exception in the initialization of the notification service. A hotfix may be required.,OPEN,2025-07-03 08:30:00.000,2025-07-03 08:30:00.000,
4,Email notifications delayed,"System-generated email notifications are being delayed by several hours. This is especially problematic for password reset requests, leaving users locked out. Initial investigation suggests the email queue is backing up due to rate-limiting issues with the SMTP provider.",IN_PROGRESS,2025-07-04 10:10:00.000,2025-07-06 16:30:00.000,
5,User avatars not displaying,"Profile avatars are not loading on the dashboard. Instead, broken image placeholders are shown. The problem seems related to a misconfigured CDN endpoint serving user-uploaded images. This affects only newly uploaded images.",CLOSED,2025-07-05 12:05:00.000,2025-07-08 15:20:00.000,
6,Slow performance on dashboard,Users are reporting that the dashboard takes over 10 seconds to load during peak hours. Profiling shows inefficient SQL queries fetching large amounts of data without proper indexing. Optimization is required to improve responsiveness.,OPEN,2025-07-06 09:50:00.000,2025-07-06 09:50:00.000,
7,Broken link in help section,The “Contact Support” link in the help center redirects to a 404 page. This creates confusion for users who are actively seeking assistance. The link URL likely changed during a recent documentation migration and was not updated in the frontend.,CLOSED,2025-07-07 14:25:00.000,2025-07-09 10:15:00.000,
8,Two-factor authentication setup failing,"Some users are unable to complete the setup process for two-factor authentication. The QR code loads, but entering the generated code results in a validation error. The authentication service may not be properly syncing shared secrets.",IN_PROGRESS,2025-07-08 15:40:00.000,2025-07-11 09:00:00.000,
9,Data export feature times out,"The CSV export function is timing out for large datasets, preventing users from downloading their full records. Logs show queries taking longer than the configured timeout limit. A background job or pagination strategy may be necessary.",OPEN,2025-07-09 10:55:00.000,2025-07-09 10:55:00.000,
10,Incorrect totals on reports,Monthly financial reports are showing incorrect totals in the summary section. A mismatch exists between the detailed line items and the aggregated numbers. This could be a rounding issue or a bug in the aggregation SQL query.,CLOSED,2025-07-10 08:35:00.000,2025-07-13 12:45:00.000,
11,Push notifications not delivered,"Android users are not receiving push notifications for new messages. Initial debugging suggests the Firebase Cloud Messaging token refresh process may not be handled correctly, resulting in expired tokens not being updated.",OPEN,2025-07-11 09:00:00.000,2025-07-11 09:00:00.000,
12,UI layout broken on Safari,"Certain UI components such as dropdowns and modals are misaligned when viewed in Safari. This creates usability problems, particularly on MacOS. Developers suspect missing CSS prefixes or WebKit-specific rendering quirks.",IN_PROGRESS,2025-07-12 16:20:00.000,2025-07-15 18:10:00.000,
13,File uploads exceeding size limit,"Users attempting to upload files larger than 10MB receive no error message and the uploads silently fail. The frontend should validate file size before submission, and the backend should provide clear error responses for oversized files.",CLOSED,2025-07-13 11:45:00.000,2025-07-14 14:20:00.000,
14,Payment gateway integration errors,Some transactions are being declined due to an error with the third-party payment gateway. The issue seems intermittent and may be related to API rate limiting. This is causing frustration for customers attempting to complete purchases.,OPEN,2025-07-14 08:10:00.000,2025-07-14 08:10:00.000,
15,Dark mode toggle not saving,Users report that switching to dark mode does not persist after page refresh. This is likely due to missing state persistence in local storage or an incomplete implementation on the user settings API.,CLOSED,2025-07-15 13:30:00.000,2025-07-17 09:00:00.000,
16,Incorrect timezone displayed,"Events are showing the wrong timezone on the calendar view, leading to scheduling confusion. The backend may not be converting UTC timestamps properly to the user’s local timezone.",OPEN,2025-07-16 09:25:00.000,2025-07-16 09:25:00.000,
17,Broken pagination on comments,"The comments section pagination is skipping entries when navigating between pages. This seems to happen when there are more than 100 comments, suggesting an off-by-one error in the pagination logic.",IN_PROGRESS,2025-07-17 11:15:00.000,2025-07-19 15:45:00.000,
18,Security vulnerability in API,Penetration testing revealed that one API endpoint allows access without proper authorization checks. This is a critical security issue that could expose sensitive user data. Immediate patching is required.,CLOSED,2025-07-18 10:05:00.000,2025-07-19 20:00:00.000,
19,Broken image thumbnails in gallery,Thumbnails in the media gallery are showing as broken links for recently uploaded files. This seems to be related to a background job responsible for generating thumbnails failing silently without retries.,OPEN,2025-07-19 14:40:00.000,2025-07-19 14:40:00.000,
20,Forgot password email not sent,Users requesting password resets are not receiving the reset email. Logs show the request being accepted but no email job being queued. This is preventing users from regaining access to their accounts.,IN_PROGRESS,2025-07-20 09:55:00.000,2025-07-22 11:10:00.000,
